Date,Guesses,Word
2022-12-18,4,
2022-12-19,4,
2022-12-20,2,
2022-12-21,4,
2022-12-22,4,
2022-12-23,2,
2022-12-24,3,
2022-12-25,3,
2022-12-26,X,
2022-12-27,5,
2022-12-30,5,
2023-01-01,3,
2023-01-02,5,
2023-01-03,4,
2023-01-04,X,
2023-01-05,3,
2023-01-06,3,
2023-01-07,4,
2023-01-08,4,
2023-01-09,6,
2023-01-10,4,
2023-01-12,2,
2023-01-15,2,
2023-01-16,5,
2023-01-17,4,
2023-01-18,4,
2023-01-19,4,
2023-01-20,3,
2023-01-21,5,
2023-01-22,3,
2023-01-23,3,
2023-01-24,4,
2023-01-25,3,
2023-01-26,5,
2023-01-27,5,
2023-01-28,2,
2023-01-29,5,
2023-01-30,3,
2023-01-31,3,
2023-02-01,3,
2023-02-02,2,
2023-02-03,2,
2023-02-04,4,
2023-02-05,3,
2023-02-06,5,
2023-02-07,4,
2023-02-08,4,
2023-02-09,4,
2023-02-10,4,
2023-02-11,X,
2023-02-12,3,
2023-02-13,3,
2023-02-14,2,
2023-02-15,5,
2023-02-16,3,
2023-02-17,4,
2023-02-18,3,
2023-02-19,4,
2023-02-20,3,
2023-02-21,4,
2023-02-22,4,
2023-02-23,4,
2023-02-24,3,
2023-02-26,4,
2023-02-27,3,
2023-02-28,5,
2023-03-01,4,
2023-03-02,3,
2023-03-05,4,
2023-03-06,3,
2023-03-07,4,
2023-03-08,5,
2023-03-09,4,
2023-03-13,6,
2023-03-14,3,
2023-03-15,6,
2023-03-16,3,
2023-03-19,4,
2023-03-20,3,
2023-03-23,3,
2023-03-24,5,
2023-03-26,3,
2023-03-27,3,
2023-03-28,4,
2023-03-29,3,
2023-03-30,5,
2023-03-31,5,
2023-04-02,5,
2023-04-03,4,
2023-04-04,X,
2023-04-05,5,
2023-04-06,6,
2023-04-07,5,
2023-04-08,3,
2023-04-09,5,
2023-04-10,5,
2023-04-11,4,
2023-04-12,6,
2023-04-13,3,
2023-04-14,2,
2023-04-16,4,
2023-04-17,5,whiff
2023-04-18,6,hound
2023-04-19,4,thump
2023-04-20,4,plate
2023-04-21,X,kayak
2023-04-22,3,broke
2023-04-23,3,unzip
2023-04-24,X,ditto
2023-04-25,X,joker
2023-04-26,4,metro
2023-04-27,4,logic
2023-04-28,3,circa
2023-04-29,3,cedar
2023-04-30,5,plaza
2023-05-01,4,range
2023-05-02,4,sulky
2023-05-03,5,horde
2023-05-04,5,guppy
2023-05-10,4,ethic
2023-05-11,5,broom
2023-05-12,4,snack
2023-05-21,3,brash
2023-05-22,3,igloo
2023-05-23,3,clerk
2023-05-24,5,utter
2023-05-25,3,bagel
2023-05-26,5,swine
2023-05-28,5,skimp
2023-05-29,4,mouse
2023-05-30,3,kneel
2023-05-31,4,agile
2023-06-01,6,jazzy
2023-06-03,6,nanny
2023-06-04,X,beast
2023-06-05,5,ennui
2023-06-06,4,scout
2023-06-07,5,hater
2023-06-08,3,crumb
2023-06-09,4,balsa
2023-06-10,4,again
2023-06-11,4,guard
2023-06-12,5,wrong
2023-06-13,4,plunk
2023-06-14,4,crime
2023-06-16,3,strap
2023-06-17,4,ranch
2023-06-18,4,shyly
2023-06-19,5,kazoo
2023-06-20,3,frost
2023-06-21,4,crane
2023-06-22,2,taste
2023-06-23,4,covet
2023-06-23,3,grand
2023-06-25,4,rodeo
2023-06-26,4,guest
2023-06-27,3,about
2023-06-28,3,tract
2023-06-29,4,diner
2023-06-30,4,straw
2023-07-01,6,bleep
2023-07-02,5,mossy
2023-07-03,4,hotel
2023-07-04,4,irate
2023-07-05,3,venom
2023-07-06,3,windy
2023-07-07,3,donut
2023-07-13,4,barge
2023-07-17,4,droop
2023-07-18,6,flyer
2023-07-19,3,tonic
2023-07-20,3,flank
2023-07-21,4,burly
2023-07-22,6,froze
2023-07-23,4,whale
2023-07-24,4,hobby
2023-07-25,3,wheel
2023-07-26,3,heart
2023-07-27,3,disco
2023-07-28,3,ethos
2023-07-29,3,curly
2023-07-30,4,bathe
2023-07-31,4,style
2023-08-01,3,tenth
2023-08-02,6,beget
2023-08-03,4,party
2023-08-04,3,chart
2023-08-05,4,anode
2023-08-06,5,polyp
