Date,Time
2017-01-01,1:04:35
2017-01-02,0:09:58
2017-01-03,0:14:40
2017-01-04,0:21:07
2017-01-05,0:25:18
2017-01-06,0:39:00
2017-01-07,0:50:30
2017-01-08,0:46:45
2017-01-09,0:09:03
2017-01-10,0:15:01
2017-01-11,0:18:47
2017-01-12,0:24:01
2017-01-13,0:19:20
2017-01-14,0:26:52
2017-01-15,0:50:37
2017-01-16,0:10:37
2017-01-17,0:12:18
2017-01-18,0:19:44
2017-01-19,0:44:21
2017-01-20,1:01:25
2017-01-21,0:51:52
2017-01-22,0:43:58
2017-01-23,0:10:56
2017-01-24,0:17:19
2017-01-25,0:16:11
2017-01-26,0:54:55
2017-01-27,0:44:07
2017-01-28,0:25:15
2017-01-29,0:33:46
2017-01-30,0:09:20
2017-01-31,0:09:20
2017-02-01,0:22:06
2017-02-02,0:25:43
2017-02-03,0:44:22
2017-02-04,1:28:59
2017-02-05,0:42:20
2017-02-06,0:08:39
2017-02-07,0:14:05
2017-02-08,0:21:10
2017-02-09,0:20:50
2017-02-10,0:23:08
2017-02-11,0:46:39
2017-02-12,1:09:23
2017-02-13,0:12:07
2017-02-14,0:13:31
2017-02-15,0:15:57
2017-02-16,0:23:09
2017-02-17,0:37:50
2017-02-18,1:07:57
2017-02-19,1:02:30
2017-02-20,0:12:08
2017-02-21,0:12:18
2017-02-22,0:19:21
2017-02-23,0:29:52
2017-02-24,0:21:49
2017-02-25,1:05:54
2017-02-26,1:03:07
2017-02-27,0:10:08
2017-02-28,0:15:26
2017-03-01,0:13:58
2017-03-02,0:22:06
2017-03-03,0:43:19
2017-03-04,0:34:32
2017-03-05,1:46:06
2017-03-06,0:11:12
2017-03-07,0:17:07
2017-03-08,0:17:05
2017-03-09,0:22:03
2017-03-10,0:30:07
2017-03-11,0:54:17
2017-03-12,1:02:58
2017-03-13,0:07:50
2017-03-14,0:23:14
2017-03-15,0:14:38
2017-03-16,0:22:09
2017-03-17,0:34:43
2017-03-18,0:44:28
2017-03-19,0:46:40
2017-03-20,0:08:24
2017-03-21,0:14:31
